id,name,key,code,alt_names,country_id,state_id,part_id,county_id,pop,area,created_at,updated_at
228,"Freiburg (im Breisgau)",freiburg,,,110,,,,,,"2017-12-28 04:32:20.154766","2017-12-28 04:32:20.154766"
229,Karlsruhe,karlsruhe,,,110,,,,,,"2017-12-28 04:32:20.160876","2017-12-28 04:32:20.160876"
230,Aalen,aalen,,,110,,,,,,"2017-12-28 04:32:20.166530","2017-12-28 04:32:20.166530"
231,Sandhausen,sandhausen,,,110,,,,,,"2017-12-28 04:32:20.172244","2017-12-28 04:32:20.172244"
232,Heidenheim,heidenheim,,,110,,,,,,"2017-12-28 04:32:20.179125","2017-12-28 04:32:20.179125"
233,Frankfurt,frankfurt,,,110,,,,,,"2017-12-28 04:32:20.186191","2017-12-28 04:32:20.186191"
234,Darmstadt,darmstadt,,,110,,,,,,"2017-12-28 04:32:20.197083","2017-12-28 04:32:20.197083"
235,Hannover,hannover,,,110,,,,,,"2017-12-28 04:32:20.202577","2017-12-28 04:32:20.202577"
236,Wolfsburg,wolfsburg,,,110,,,,,,"2017-12-28 04:32:20.209662","2017-12-28 04:32:20.209662"
237,Braunschweig,braunschweig,,,110,,,,,,"2017-12-28 04:32:20.216483","2017-12-28 04:32:20.216483"
238,Leipzig,leipzig,,,110,,,,,,"2017-12-28 04:32:20.222000","2017-12-28 04:32:20.222000"
239,Dresden,dresden,,,110,,,,,,"2017-12-28 04:32:20.228082","2017-12-28 04:32:20.228082"
240,Aue,aue,,,110,,,,,,"2017-12-28 04:32:20.233679","2017-12-28 04:32:20.233679"
241,Kaiserslautern,kaiserslautern,,,110,,,,,,"2017-12-28 04:32:20.240691","2017-12-28 04:32:20.240691"
242,Mainz,mainz,,,110,,,,,,"2017-12-28 04:32:20.246447","2017-12-28 04:32:20.246447"
243,London,london,,,225,,,,,,"2017-12-28 04:32:20.253987","2017-12-28 04:32:20.253987"
244,Manchester,manchester,,,225,,,,,,"2017-12-28 04:32:20.264805","2017-12-28 04:32:20.264805"
245,Newcastle,newcastle,,,225,,,,,,"2017-12-28 04:32:20.272744","2017-12-28 04:32:20.272744"
