id,msg,level,app,tag,pid,tid,ts,created_at,updated_at
139,"city with key piraeus missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.970896","2017-12-28 04:32:36.970896"
140,"city with key nikosia missing",warn,,,14013,10252500,"2017-12-28 04:32:36 +0000","2017-12-28 04:32:36.994293","2017-12-28 04:32:36.994293"
141,"city with key Glasgow missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.039067","2017-12-28 04:32:37.039067"
142,"city with key Dundee missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.043111","2017-12-28 04:32:37.043111"
143,"city with key Aberdeen missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.045978","2017-12-28 04:32:37.045978"
144,"city with key Perth missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.048641","2017-12-28 04:32:37.048641"
145,"city with key Inverness missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.051161","2017-12-28 04:32:37.051161"
146,"city with key Dundee missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.053680","2017-12-28 04:32:37.053680"
147,"city with key Glasgow missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.057516","2017-12-28 04:32:37.057516"
148,"city with key adelaide missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.100808","2017-12-28 04:32:37.100808"
149,"city with key brisbane missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.103794","2017-12-28 04:32:37.103794"
150,"city with key gosford missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.106562","2017-12-28 04:32:37.106562"
151,"city with key melbourne missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.109291","2017-12-28 04:32:37.109291"
152,"city with key melbourne missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.112116","2017-12-28 04:32:37.112116"
153,"city with key perth missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.116956","2017-12-28 04:32:37.116956"
154,"city with key sydney missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.119864","2017-12-28 04:32:37.119864"
155,"city with key sydney missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.122888","2017-12-28 04:32:37.122888"
156,"city with key auckland missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.127330","2017-12-28 04:32:37.127330"
157,"city with key christchurch missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.131136","2017-12-28 04:32:37.131136"
158,"city with key napier missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.137731","2017-12-28 04:32:37.137731"
159,"city with key dunedin missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.140580","2017-12-28 04:32:37.140580"
160,"city with key waitakerecity missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.147697","2017-12-28 04:32:37.147697"
161,"city with key palmerstonnorth missing",warn,,,14013,10252500,"2017-12-28 04:32:37 +0000","2017-12-28 04:32:37.151094","2017-12-28 04:32:37.151094"
