id,name,kind,lat,lng,created_at,updated_at
275,Manama,CITY,,,"2017-12-28 04:32:14.234408","2017-12-28 04:32:14.234408"
276,Kuwait,CNTY,,,"2017-12-28 04:32:14.242562","2017-12-28 04:32:14.242562"
277,"Kuwait City",CITY,,,"2017-12-28 04:32:14.244842","2017-12-28 04:32:14.244842"
278,Oman,CNTY,,,"2017-12-28 04:32:14.251708","2017-12-28 04:32:14.251708"
279,Muscat,CITY,,,"2017-12-28 04:32:14.253929","2017-12-28 04:32:14.253929"
280,Qatar,CNTY,,,"2017-12-28 04:32:14.259353","2017-12-28 04:32:14.259353"
281,Doha,CITY,,,"2017-12-28 04:32:14.262338","2017-12-28 04:32:14.262338"
282,"Saudi Arabia",CNTY,,,"2017-12-28 04:32:14.271269","2017-12-28 04:32:14.271269"
283,Riyadh,CITY,,,"2017-12-28 04:32:14.274818","2017-12-28 04:32:14.274818"
284,"United Arab Emirates",CNTY,,,"2017-12-28 04:32:14.282460","2017-12-28 04:32:14.282460"
285,"Abu Dhabi",CITY,,,"2017-12-28 04:32:14.284923","2017-12-28 04:32:14.284923"
